acc,start,end,label
DP03804,1,70,structured
DP03804,71,338,disordered
DP03804,339,680,structured
DP03824,1,855,structured
DP03824,856,925,disordered
DP03824,926,1136,structured
DP03913,1,100,structured
DP03913,101,114,disordered
DP03913,115,162,structured
DP03995,1,85,structured
DP03995,86,97,disordered
DP03995,98,113,structured
DP03995,114,125,disordered
DP03995,126,314,structured
DP04051,1,374,structured
DP04051,375,389,disordered
DP04051,390,762,structured
DP04066,1,100,structured
DP04066,101,110,disordered
DP04066,111,298,structured
DP04072,1,78,structured
DP04072,79,88,disordered
DP04072,89,180,structured
DP04087,1,20,structured
DP04087,21,38,disordered
DP04087,39,1090,structured
DP04096,1,908,structured
DP04096,909,935,disordered
DP04096,936,1844,structured
DP04127,1,46,structured
DP04127,47,56,disordered
DP04127,57,114,structured
DP04127,115,128,disordered
DP04127,129,140,structured
DP04127,141,158,disordered
DP04127,159,175,structured
DP04131,1,115,structured
DP04131,116,133,disordered
DP04131,134,191,structured
DP04131,192,212,disordered
DP04131,213,399,structured
DP04144,1,79,structured
DP04144,80,139,disordered
DP04144,140,421,structured
DP04145,1,80,structured
DP04145,81,142,disordered
DP04145,143,422,structured
DP04156,1,162,structured
DP04156,163,263,disordered
DP04156,264,665,structured
DP04158,1,850,structured
DP04158,851,867,disordered
DP04158,868,1292,structured
DP04166,1,324,structured
DP04166,325,338,disordered
DP04166,339,955,structured
DP04174,1,253,structured
DP04174,254,266,disordered
DP04174,267,463,structured
DP04174,464,483,disordered
DP04174,484,544,structured
DP04198,1,2949,structured
DP04198,2950,2989,disordered
DP04198,2990,3010,structured
DP04219,1,161,structured
DP04219,162,204,disordered
DP04219,205,338,structured
DP04242,1,78,structured
DP04242,79,123,disordered
DP04242,124,191,structured
DP04255,1,68,structured
DP04255,69,191,disordered
DP04255,192,490,structured
DP04256,1,37,structured
DP04256,38,69,disordered
DP04256,70,176,structured
DP04257,1,156,structured
DP04257,157,194,disordered
DP04257,195,343,structured
DP04257,344,404,disordered
DP04257,405,577,structured
DP04268,1,149,structured
DP04268,150,172,disordered
DP04268,173,229,structured
DP04284,1,181,structured
DP04284,182,195,disordered
DP04284,196,302,structured
DP04373,1,402,structured
DP04373,403,413,disordered
DP04373,414,664,structured
DP04378,1,137,structured
DP04378,138,150,disordered
DP04378,151,898,structured
DP04379,1,313,structured
DP04379,314,354,disordered
DP04379,355,464,structured
DP04381,1,26,structured
DP04381,27,69,disordered
DP04381,70,147,structured
DP04384,1,740,structured
DP04384,741,758,disordered
DP04384,759,1102,structured
DP04392,1,268,structured
DP04392,269,278,disordered
DP04392,279,571,structured
